No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
152,8.4 GHz (Effelsberg),107.0,,,mJy,8400000000.0,0.107,,,,,898800000.0,,,,,Effelsberg,?,8.4,GHz,flux integrated from map or image,2009ApJ...693.1392S
153,4.5 cm,0.16,0.03,0.03,Jy,6630000130.0,0.16,0.03,0.03,,,1060800020.8,198900003.9,198900003.9,,,46m,Parametric amplifier,4.52,cm,integrated from scans,1973AJ.....78...18M
154,5010 MHz,0.12,0.012,0.012,Jy,5009999870.0,0.12,0.012,0.012,,,601199984.4,60119998.44,60119998.44,,,Parkes,?,5010.0,MHz,flux in fixed aperture,1970ApL.....5...29W
155,4.85 GHz Effelsberg,102.0,2.0,2.0,mJy,4849999870.0,0.102,0.002,0.002,,,494699986.74,9699999.74,9699999.74,,,Effelsberg,?,4.85,GHz,total flux; beam filling or dilution corrected,2004A&A...418....1V
156,4.85 GHz,178.0,14.0,14.0,mJy,4849999870.0,0.178,0.014,0.014,,,863299976.86,67899998.18,67899998.18,,,Parkes,NRAO multibeam receiver,4.85,GHz,modelled datum,1995ApJS...97..347G
157,4.85 GHz,157.0,23.0,23.0,mJy,4849999870.0,0.157,0.023,0.023,,,761449979.59,111549997.01,111549997.01,,,Green Bank 91m,?,4.85,GHz,modelled datum,1991ApJS...75.1011G
158,4.85 GHz,153.0,15.0,15.0,mJy,4849999870.0,0.153,0.02295,0.02295,,,742049980.11,111307497.0165,111307497.0165,,,Green Bank 91m,?,4.85,GHz,peak flux,1991ApJS...75....1B
159,4.8 GHz (Effelsberg),189.0,,,mJy,4800000000.0,0.189,,,,,907200000.0,,,,,Effelsberg,?,4.8,GHz,flux integrated from map or image,2009ApJ...693.1392S
160,4775 MHz (NRAO),178.0,,,mJy,4775000064.0,0.178,,,,,849950011.392,,,,,91.4m,6-25 receiver,4775.0,MHz,flux integrated from map or image,1986ApJS...61....1B
161,2380 MHz,195.0,9.0,9.0,mJy,2380000000.0,0.195,0.009,0.009,,,464100000.0,21420000.0,21420000.0,,,Arecibo,?,2380.0,MHz,peak flux,1978ApJS...36...53D
162,1465 MHz,365.0,60.0,60.0,mJy,1464999940.0,0.365,0.06,0.06,,,534724978.1,87899996.4,87899996.4,,,VLA,C configuration,1465.0,MHz,flux integrated from map or image,1983ApJS...53..459C
163,1.40 GHz,468.0,,,mJy,1400000000.0,0.468,,,,,655200000.0,,,,,Green Bank 91m,?,1.4,GHz,peak flux,1992ApJS...79..331W
164,1.4 GHz (VLA),444.0,,,mJy,1400000000.0,0.444,,,,,621600000.0,,,,,VLA,?,1.4,GHz,flux integrated from map or image,2002AJ....124..675C
165,1400 MHz (NRAO),0.4,,,Jy,1400000000.0,0.4,,,,,560000000.0,,,,,91.4m,Superheterodyne receiver,1400.0,MHz,peak flux,1964AJ.....69..277H
166,1.4GHz,435.8,13.9,13.9,mJy,1400000000.0,0.4358,0.0139,0.0139,,,610120000.0,19460000.0,19460000.0,,,VLA,"D, DnC configurations",1.4,GHz,flux integrated from map or image,1998AJ....115.1693C
167,1.4 GHz (NVSS),444.0,14.0,14.0,mJy,1400000000.0,0.444,0.014,0.014,,,621600000.0,19600000.0,19600000.0,,,VLA,"D, DnC configurations",1.4,GHz,total flux; beam filling or dilution corrected,2014MNRAS.440..696A
168,1.4 GHz (CHIPASS),699.0,,,mJy,1400000000.0,0.699,,,,,978600000.0,,,,,Parkes,Multibeam system,1.4,GHz,from fitting to map,2014MNRAS.440..696A
169,750 MHz (NRAO),0.9,,,Jy,750000000.0,0.9,,,,,675000000.0,,,,,91.4m,Superheterodyne receiver,750.0,MHz,peak flux,1964AJ.....69..277H
170,408 MHz,0.93,0.07,0.07,Jy,408000000.0,0.93,0.07,0.07,,,379440000.0,28560000.0,28560000.0,,,Molonglo Cross,?,408.0,MHz,modelled datum,1981MNRAS.194..693L
