No.,Bandpass,Measurement,Unc High,Unc Low,Unit,Frequency (Hz),Flux Density,FD Unc High,FD Unc Low,FD Upper Limit,FD Lower Limit,Flux,F Unc High,F Unc Low,F Upper Limit,F Lower Limit,Telescope,Instrument,Frequency,Freq. Unit,Aperature Type,Reference
14,17-80 keV (INTEGRAL),1.86e-11,1.23e-11,1.23e-11,erg/cm^2/s,1.1699999988188e+19,1.58974359134855e-07,1.0512820523434e-07,1.0512820523434e-07,,,1860000000000.0,1230000000000.0,1230000000000.0,,,INTEGRAL,IBIS/ISGRI,48.5,keV,modelled datum,2010A&A...524A..72L
15,17-60 keV (INTEGRAL),1.9e-11,3e-12,3e-12,erg/cm^2/s,9.31000036e+18,2.04081624761613e-07,3.22234144360441e-08,3.22234144360441e-08,,,1900000000000.0,300000000000.0,300000000000.0,,,INTEGRAL,IBIS/ISGRI,38.5,keV,flux integrated from map or image,2007A&A...462...57S
16,15-55 keV (Swift),2e-11,2.2e-12,2.2e-12,erg/cm^2/s,8.4599998053876e+18,2.36406624823601e-07,2.60047287305961e-08,2.60047287305961e-08,,,2000000000000.0,220000000000.0,220000000000.0,,,Swift,BAT,35.0,keV,flux integrated from map or image,2009ApJ...699..603A
17,20-50 keV (Swift),7.72e-11,,,erg/cm^2/s,8.45999980538757e+18,9.12529571819101e-07,,,,,7720000000000.0,,,,,Swift,BAT,35.0,keV,modelled datum,2017ApJS..233...17R
18,20-40 keV (INTEGRAL),1.16e-11,,,erg/cm^2/s,7.2499999034038e+18,1.60000002131778e-07,,,,,1160000000000.0,,,,,INTEGRAL,"IBI/ISGRI, JEM-X, OMC",30.0,keV,modelled datum,2009A&A...505..417B
19,10-50 keV (Suzaku),1.39,,,log(erg/cm^2/s),7.2499999034038e+18,3.38620694166824e-07,,,,,2455000000000.0,,,,,Suzaku,"XIS, HXD/PIN",30.0,keV,modelled datum,2011ApJ...727...19F
20,20-40 keV (INTEGRAL),9.3e-12,2.7e-12,2.7e-12,erg/cm^2/s,7.2499999e+18,1.28275863838288e-07,3.7241379824019e-08,3.7241379824019e-08,,,930000000000.0,270000000000.0,270000000000.0,,,INTEGRAL,JEM-X,30.0,keV,flux integrated from map or image,2006ApJ...638..642B
21,20-40 keV (INTEGRAL),1.6,0.2,0.2,mCrab,7.2499999e+18,1.67034485062545e-07,2.08827589087277e-08,2.08827589087277e-08,,,1211000000000.0,151400000000.0,151400000000.0,,,INTEGRAL,IBIS,30.0,keV,flux integrated from map or image,2007ApJS..170..175B
22,3.5-15 keV (XMM),6.3e-12,,,erg/cm^2/s,2.23999999e+18,2.8125000125558e-07,,,,,630000000000.0,,,,,XMM-Newton,"EPIC (MOS2, pn)",9.25,keV,flux integrated from map or image,2006MNRAS.368..707P
23,F_2-10_ keV,0.53,10.0,10.0,10^-11 erg/cm^2/s,1.45199994e+18,3.65013789187898e-07,3.65013789187898e-08,3.65013789187898e-08,,,530000000000.0,53000000000.0,53000000000.0,,,EXOSAT,MEI,6.0,keV,flux integrated from map or image,1989MNRAS.240..833T
24,2-10 keV (XMM),4.97e-12,,,erg/cm^2/s,1.45000006314413e+18,3.42758605763315e-07,,,,,497000000000.0,,,,,XMM-Newton,EPIC pn,6.0,keV,modelled datum,2011MNRAS.413.1206B
25,2-10 keV (Swift),2.683e-10,,,erg/cm^2/s,1.45000006314413e+18,1.85034474700799e-05,,,,,26830000000000.0,,,,,Swift,BAT,6.0,keV,modelled datum,2017ApJS..233...17R
26,2-10 keV (Swift),4.9e-12,,,erg/cm^2/s,1.45000006314413e+18,3.37931019766648e-07,,,,,490000000000.0,,,,,Swift,BAT,6.0,keV,modelled datum,2017ApJS..233...17R
27,2-10 keV (Chandra),5.6e-12,,,erg/cm^2/s,1.4500000631441e+18,3.8620687973332e-07,,,,,560000000000.0,,,,,Chandra,HETGS,6.0,keV,modelled datum,2011ApJ...738..147S
28,2-10 keV,5.42e-12,1.1e-11,1.1e-11,erg/cm^2/s,1.4500000631441e+18,3.73793087170463e-07,7.58620656619022e-07,7.58620656619022e-07,,,542000000000.0,1100000000000.0,1100000000000.0,,,"Chandra, XMM-Newton","EPIC (MOS1, MOS2, pn)",6.0,keV,modelled datum,2011ApJ...729...52L
29,2-10 keV (ASCA),3.74e-12,,,erg/cm^2/s,1.45000006e+18,2.57931023809751e-07,,,,,374000000000.0,,,,,ASCA,GIS,6.0,keV,flux integrated from map or image,2001ApJS..133....1U
30,2-10 keV,3.5e-15,,,W/m^2,1.45000006e+18,2.41379300356719e-07,,,,,350000000000.0,,,,,Literature compilation,Literature compilation,6.0,keV,flux integrated from map or image,2004A&A...418..465L
31,2-10 keV (XMM),4.62e-12,,,erg/cm^2/s,1.45000006e+18,3.18620676470869e-07,,,,,462000000000.0,,,,,XMM-Newton,"EPIC (MOS1, MOS2, pn)",6.0,keV,flux integrated from map or image,2006A&A...446..459C
32,2-8 keV (ASCA),5.19e-12,,,erg/cm^2/s,1.21000004e+18,4.28925605655352e-07,,,,,519000000000.0,,,,,ASCA,GIS,5.0,keV,modelled datum,2007AJ....134.1263C
33,0.3-8 keV (Chandra),1.79e-11,,,erg/cm^2/s,9.9999998430675e+17,1.79000002809092e-06,,,,,1790000000000.0,,,,,Chandra,"ACIS-S, ACIS-I",4.15,keV,flux integrated from map or image,2011ApJS..192...10L
34,0.3-8 keV (Chandra),1.91e-11,,,erg/cm^2/s,9.99999984306749e+17,1.91000002997411e-06,,,,,1910000000000.0,,,,,Chandra,"ACIS-I, ACIS-S",4.15,keV,flux integrated from map or image,2016ApJS..224...40W
35,0.7-7 keV (ASCA),8.82e-12,,,erg/cm^2/s,9.30999995e+17,9.4736842614054e-07,,,,,882000000000.0,,,,,ASCA,GIS,3.85,keV,flux integrated from map or image,2001ApJS..133....1U
36,2-7 keV Chandra,9.8523e-13,2.0975e-14,2.0975e-14,erg/cm^2/s,9.18835911992269e+17,1.07225663099963e-07,2.28281739403722e-09,2.28281739403722e-09,,,98522789943.43,2097534602.162,2097534602.162,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
37,2-7 keV Chandra,5.7813e-13,1.93e-14,1.93e-14,erg/cm^2/s,9.18835911992269e+17,6.29197434893483e-08,2.10044783476556e-09,2.10044783476556e-09,,,57812919891.355,1929966901.849,1929966901.849,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
38,2-7 keV Chandra,9.7593e-13,2.0944e-14,2.0944e-14,erg/cm^2/s,9.18835911992269e+17,1.06213591980645e-07,2.27945136701038e-09,2.27945136701038e-09,,,97592862653.511,2094441775.64901,2094441775.64901,,,Chandra,"ACIS, HRC-I",3.8,keV,flux in fixed aperture,2020CSC...C2..0000:
39,2-7 keV Chandra,5.858e-13,1.9391e-14,1.9391e-14,erg/cm^2/s,9.18835911992269e+17,6.37549006452785e-08,2.11042215949143e-09,2.11042215949143e-09,,,58580292278.381,1939131669.605,1939131669.605,,,Chandra,"ACIS, HRC-I",3.8,keV,from fitting to map,2020CSC...C2..0000:
40,0.5-7 keV Chandra,5.5045e-13,1.6976e-14,1.6976e-14,erg/cm^2/s,5.56137525679531e+17,9.89782101343444e-08,3.05242381377481e-09,3.05242381377481e-09,,,55045496880.303,1697567427.118,1697567427.118,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
41,0.5-7 keV Chandra,5.608e-13,1.7357e-14,1.7357e-14,erg/cm^2/s,5.56137525679531e+17,1.00838799247774e-07,3.12102270616997e-09,3.12102270616997e-09,,,56080240306.152,1735717845.399,1735717845.399,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
42,0.5-7 keV Chandra,2.4818e-12,2.3725e-14,2.3725e-14,erg/cm^2/s,5.56137525679531e+17,4.46257763913924e-07,4.266033021978e-09,4.266033021978e-09,,,248180688638.37,2372501049.31002,2372501049.31002,,,Chandra,"ACIS, HRC-I",2.3,keV,flux in fixed aperture,2020CSC...C2..0000:
43,0.5-7 keV Chandra,2.4838e-12,2.4505e-14,2.4505e-14,erg/cm^2/s,5.56137525679531e+17,4.46621524972653e-07,4.40620040054999e-09,4.40620040054999e-09,,,248382989813.51,2450453388.41003,2450453388.41003,,,Chandra,"ACIS, HRC-I",2.3,keV,from fitting to map,2020CSC...C2..0000:
44,0.2-4 keV (EINSTEIN),2.065e-11,,,erg/cm^2/s,5.24599984e+17,3.93633256382257e-06,,,,,2065000000000.0,,,,,Einstein,IPC,2.1,keV,flux integrated from map or image,1992ApJS...80..531F
45,0.3-3 keV (XMM),1.6e-11,,,erg/cm^2/s,3.98999988e+17,4.0100251832589e-06,,,,,1600000000000.0,,,,,XMM-Newton,"EPIC (MOS2, pn)",1.65,keV,flux integrated from map or image,2006MNRAS.368..707P
46,1.2-2 keV Chandra,2.0239e-13,4.7115e-15,4.7115e-15,erg/cm^2/s,3.77206321765247e+17,5.36555310150178e-08,1.24904702777017e-09,1.24904702777017e-09,,,20239205496.536,471148435.057001,471148435.057001,,,Chandra,"ACIS, HRC-I",1.56,keV,from fitting to map,2020CSC...C2..0000:
